stop_id,stop_name,stop_lat,stop_lon
7028,Porte Des Postes,50.618436,3.049897
1020,Hotel De Ville,50.638877,3.012032
1137,Croise Laroche,50.664956,3.102412
1508,Euroteleport,50.691458,3.1803
7905,Ep. Montesquieu,50.683912,3.163272
1822,Gare De Tourcoing,50.71662,3.162584
1968,Les Pres-E. Pisani,50.650299,3.12654
2071,Pave De Lille,50.663999,3.13037
5864,Rue De Croix,50.677444,3.134677
1034,Bourg,50.645596,2.985149
8034,Euroteleport,50.691765,3.181336
2086,Cartelot,50.683508,3.1193
1036,Mitterie,50.646938,3.007556
1422,Bol D'Air,50.672318,3.156051
7124,Tourcoing Centre,50.721151,3.15835
6404,Hotel De Ville,50.619227,3.130647
1997,Planche Epinoy,50.664357,3.145815
5917,Jean Jaures,50.62613,3.105724
809,Cormontaigne,50.626159,3.040601
935,Mairie De Lille,50.632621,3.070818
999,St. Philibert,50.651804,2.974661
1126,Chateau Rouge,50.679735,3.114427
1546,Alfred Mongy,50.687763,3.174886
4039,Foch,50.663133,3.050196
6522,Pt De Neuville,50.736871,3.170891
8927,Phalempins,50.732801,3.151687
4704,4 Cantons Stade,50.60687,3.136851
5841,Gambetta,50.760825,3.00377
9105,Pont Superieur,50.644993,3.014019
1816,Carliers,50.711278,3.159332
7828,Pont De Bois,50.624223,3.129302
1004,Maison Des Enfants,50.646333,2.994949
7904,Colbert,50.725484,3.156923
1120,Acacias,50.664917,3.110033
1510,Hopital Victor Provo,50.681022,3.167615
6666,Tourcoing Centre,50.720603,3.15981
5766,Brossolette,50.730214,3.134418
4630,Villa Cavrois,50.66888,3.153581
965,Porte De Valenciennes,50.621046,3.078982
778,Fives,50.633049,3.090669
1208,Mons Sarts,50.642155,3.099298
1239,Trois Suisses,50.6989,3.138904
1805,Mercure,50.705127,3.160318
5275,Faidherbe,50.638928,3.127433
288,La Marque,50.666201,3.149105
974,Chu-Eurasante,50.607688,3.039128
997,Lomme-Lambersart,50.640786,3.0188
6629,Buisson,50.657154,3.090327
920,Gare Lille Flandres,50.637617,3.071004
1222,Fort De Mons,50.642262,3.119586
1746,Pont Hydraulique,50.712636,3.156077
1736,C.H. Dron,50.743757,3.180505
6415,Cte Scientifique,50.611992,3.14236
1982,Le Sart,50.663307,3.138954
1471,Jean Moulin,50.684902,3.172127
6732,Triez,50.69242,3.131146
6587,Gare Jean Lebas,50.695712,3.16399
1519,Alsace,50.700187,3.161338
1874,Ma Campagne,50.709868,3.152867
7536,Lille Europe,50.639615,3.075815
773,Republique Beaux-Arts,50.631776,3.060608
866,Porte D'Arras,50.617593,3.062166
7903,Roubaix Place,50.691386,3.173633
6411,Parc Barbieux,50.677467,3.162728
2073,La Terrasse,50.664027,3.126037
492,Square Flandres,50.625204,3.116047
613,Saint Maur,50.651949,3.081909
618,Romarin,50.645602,3.075184
776,Porte De Douai,50.618366,3.072597
934,Port De Lille,50.630053,3.035733
1105,Le Quesne,50.673406,3.10672
797,St Maurice Pellevoisin,50.642393,3.088299
942,Rihour,50.636062,3.062306
7540,Lille Europe,50.638815,3.076184
1113,Clemenceau Hippodrome,50.661782,3.096338
1914,Bois Blancs,50.619543,3.141326
2047,Pont De Wasquehal,50.664527,3.117888
