route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
01,"35",1,"LES FOURCHES - SCHUMAN",,3,,EB5D4D,FFFFFF
02,"35",2,"DIGARD - COLLIGNON",,3,,E50063,FFFFFF
03,"35",3,"BRECOURT - EGLANTINE CHATEAU",,3,,9E5049,FFFFFF
04,"35",4,"AMFREVILLE - LA GLACERIE MARETTES",,3,,F39200,FFFFFF
05,"35",5,"QUERQUEVILLE MAIRIE - FLAMANDS",,3,,F8DA41,000000
06,"35",6,"POLYCLINIQUE - SAUXMARAIS",,3,,F5A681,FFFFFF
A,"35",A,"CHERBOURG EN COTENTIN - LA HAGUE",,3,,58529E,FFFFFF
B,"35",B,"CHERBOURG EN COTENTIN - SIOUVILLE/FLAMANVILLE",,3,,,FFFFFF
C,"35",C,"CHERBOURG EN COTENTIN - VALOGNES",,3,,86B5E2,FFFFFF
D,"35",D,"CHERBOURG EN COTENTIN - VALOGNES",,3,,107974,FFFFFF1EB8D1
E,"35",E,"CHERBOURG EN COTENTIN - BRICQUEBEC EN COTENTIN",,3,,47B7A2,FFFFFF
F,"35",F,"LES PIEUX - PORTBAIL SUR MER",,3,,9774B1,FFFFFF
G,"35",G,"VALOGNES - BARNEVILLE CARTERET",,3,,C2DDB3,000000
N1,"35",N1,"CAP COTENTIN DE NUIT COTE EST",,3,,FFFFFF,000000
N2,"35",N2,"CAP COTENTIN DE NUIT COTE OUEST",,3,,FFFFFF,000000
S1,"35",S1,"VALOGNES - BARNEVILLE CARTERET",,3,,FFFFFF,000000
S10,"35",S10,"CHERBOURG EN COTENTIN - GROSVILLE",,3,,FFFFFF,000000
S11,"35",S11,"BEAUMONT HAGUE - BIVILLE",,3,,FFFFFF,000000
S12,"35",S12,"HELLEVILLE - BRICQUEBEC EN COTENTIN",,3,,FFFFFF,000000
S2,"35",S2,"BRICQUEBEC EN COTENTIN - ST SAUVEUR LE VICOMTE",,3,,FFFFFF,000000
S3,"35",S3,"VALOGNES - EMONDEVILLE",,3,,FFFFFF,000000
S4,"35",S4,"CHERBOURG EN COTENTIN - CRASVILLE",,3,,FFFFFF,000000
S5,"35",S5,"CHERBOURG EN COTENTIN - MONTFARVILLE",,3,,FFFFFF,000000
S6,"35",S6,"CHERBOURG EN COTENTIN - GATTEVILLE LE PHARE",,3,,FFFFFF,000000
S7,"35",S7,"ST PIERRE EGLISE - LE VAST",,3,,FFFFFF,000000
S8,"35",S8,"ST PIERRE EGLISE - THEURTHEVILLE BOCAGE",,3,,FFFFFF,000000
S9,"35",S9,"SURTAINVILLE - BRICQUEBEC EN COTENTIN",,3,,FFFFFF,000000
SC10,"35",SC10,"HAMEAU QUEVASTRE - SCHUMAN",,3,,FFFFFF,000000
SCO1,"35",SCO1,"LYCEES TOCQUEVILLE - SAUXMARAIS",,3,,FFFFFF,000000
SCO2,"35",SCO2,"MILLET - IUT",,3,,FFFFFF,000000
SCO3,"35",SCO3,"HAMEAU PHARES",,3,,FFFFFF,000000
SCO4,"35",SCO4,"COLLEGE FERRY",,3,,FFFFFF,000000
SCO6,"35",SCO6,"COLLEGE DIDEROT",,3,,FFFFFF,000000
SCO9,"35",SCO9,"HAMEAU QUEVILLON - SCHUMAN",,3,,FFFFFF,000000
