stop_id,ligne,stop_name,stop_desc,stop_lat,stop_lon
10ABR1,2,CITE DE LA MER-A. BRIAND,,49.641277,-1.615887
10ABR2,2,CITE DE LA MER-A. BRIAND,,49.641623,-1.615923
10AGO1,3,AGORA,,49.643461,-1.66186
10AGO2,3,AGORA,,49.643535,-1.661884
10AIG1,1,LES AIGUILLONS,,49.637161,-1.639246
10AIG2,1,LES AIGUILLONS,,49.637042,-1.639261
10ALB1,4,ALBERT THOMAS,,49.657269,-1.688802
10ALB2,4,ALBERT THOMAS,,49.657425,-1.688841
10AMF1,4,AMFREVILLE,,49.659867,-1.715298
10AMF2,4,AMFREVILLE,,49.659774,-1.715258
10AMO1,1-6,AMONT QUENTIN,,49.629462,-1.623031
10AMO2,1-6,AMONT QUENTIN,,49.629303,-1.623242
10ANJ3,1-6,ANJOU,,49.626785,-1.634717
10ANJ4,1-6,ANJOU,,49.626886,-1.634828
10ANN1,5,STE ANNE,,49.656985,-1.661723
10ANN2,5,STE ANNE,,49.656988,-1.661317
10ARA1,3-4,ARAGO,,49.654061,-1.666152
10ARA2,3-4,ARAGO,,49.653912,-1.665265
10ARS1,3-4-5,ARSENAL,,49.644393,-1.633688
10ARS2,3-4-5,ARSENAL,,49.644598,-1.631355
10ART1,5,ARTISANS,,49.636855,-1.588185
10ART2,5,ARTISANS,,49.636553,-1.588929
10BAG1,3,BAGATELLE,,49.640751,-1.596295
10BAG2,3,BAGATELLE,,49.640817,-1.596334
10BAR1,0,BARBUSSE,,49.621809,-1.648498
10BAY1,1,BAYET,,49.631205,-1.646375
10BAY2,1,BAYET,,49.631311,-1.646424
10BCP1,2,BEAUCHAMP,,49.6226,-1.65226
10BCP2,2,BEAUCHAMP,,49.622866,-1.652149
10BDB1,0,BRECHE DU BOIS,,49.629243,-1.595828
10BDB2,0,BRECHE DU BOIS,,49.629416,-1.596010
10BEL1,3,BELGIQUE,,49.647303,-1.656072
10BEL2,3,BELGIQUE,,49.647347,-1.656289
10BHC2,5-6,BREMERHAVEN CENTRE,,49.631181,-1.607075
10BHC3,5-6,BREMERHAVEN CENTRE,,49.630826,-1.605532
10BHE1,3,LES BRECHES,,49.649615,-1.660824
10BHE2,3,LES BRECHES,,49.649675,-1.660611
10BHH1,5-6,BREMERHAVEN HAUT,,49.631182,-1.603592
10BHH2,5-6,BREMERHAVEN HAUT,,49.630978,-1.604376
10BLE1,4,BLERIOT,,49.616023,-1.600522
10BLE2,4,BLERIOT,,49.616212,-1.600670
10BOC1,4,LE BOCAGE,,49.602352,-1.604478
10BOC2,4,LE BOCAGE,,49.602799,-1.605189
10BOI1,4,LE BOIS,,49.657850,-1.702690
10BON1,3-4,LA BONDE,,49.654180,-1.672330
10BON2,3-4,LA BONDE,,49.654212,-1.672525
10BOS1,4,BOSQUET DU ROULE,,49.628693,-1.618291
10BOS2,4,BOSQUET DU ROULE,,49.629050,-1.618029
10BQC1,0,BREQUECAL,,49.632722,-1.565546
10BQC2,0,BREQUECAL,,49.632819,-1.565572
10BQH1,0,LE BECQUET DE HAUT,,49.652364,-1.554243
10BQH2,0,LE BECQUET DE HAUT,,49.652303,-1.554521
10BQR1,1-6,BECQUEREL,,49.628227,-1.639505
10BQR2,1-6,BECQUEREL,,49.628380,-1.639522
10BRA1,1-6,BRANLY,,49.630256,-1.643974
10BRA2,1-6,BRANLY,,49.629893,-1.642759
10BRO1,5-6,BROSSOLETTE,,49.633272,-1.592081
10BRO2,5-6,BROSSOLETTE,,49.633651,-1.592049
10BRT1,3-4,BRECOURT,,49.653803,-1.674378
10BRT2,3-4,BRECOURT,,49.653738,-1.674934
10BRU1,0,LES BRULINS,,49.617285,-1.581187
10BRU2,0,LES BRULINS,,49.617398,-1.581062
10BSJ1,4,BEAUSEJOUR,,49.618743,-1.609504
10BSJ2,4,BEAUSEJOUR,,49.618906,-1.609586
10CAM2,0,CAMUS,,49.618830,-1.652375
10CAP1,5,CAPEL,,49.657050,-1.666154
10CAP2,5,CAPEL,,49.657103,-1.666234
10CAR1,4,CARNE,,49.653936,-1.681223
10CAR2,4,CARNE,,49.653924,-1.681881
